Ngay;Ttb;GHI;A;;;;
2021-12-02;22;1,754;91011;;;;
2021-12-03;22;1,036;56107;;;;
2021-12-04;25;3,100;175678;;;;
2021-12-05;21;0,590;27686;;;;
2021-12-06;22;0,951;43821;;;;
2021-12-07;22;1,305;67717;;;;
2021-12-08;20;0,582;33747;;;;
2021-12-09;27;2,739;155200;;;;
2021-12-10;26;2,932;140339;;;;
2021-12-11;24;2,146;100760;;;;
2021-12-12;25;1,086;56359;;;;
2021-12-13;23;0,585;27992;;;;
2021-12-14;20;0,482;22212;;;;
2021-12-15;24;1,775;79647;;;;
2021-12-16;25;1,853;88700;;;;
2021-12-17;25;1,264;59336;;;;
2021-12-18;24;0,715;32959;;;;
2021-12-19;20;0,398;20672;;;;
2021-12-20;20;0,849;49238;;;;
2021-12-21;22;1,114;53337;;;;
2021-12-22;21;0,727;42167;;;;
2021-12-23;23;1,025;58108;;;;
2021-12-24;25;1,973;94429;;;;
2021-12-25;23;0,861;39677;;;;
2021-12-26;23;0,432;24503;;;;
2021-12-27;21;1,273;58635;;;;
2021-12-28;20;0,939;48738;;;;
2021-12-29;21;1,005;58302;;;;
2021-12-30;22;1,666;78206;;;;
2021-12-31;22;1,624;94198;;;;
2022-01-01;24;0,862;41273;;;;
2022-01-02;24;0,755;39183;;;;
2022-01-03;21;1,492;80816;;;;
2022-01-04;25;1,768;100162;;;;
2022-01-05;22;0,935;43889;;;;
2022-01-06;27;3,693;170142;;;;
2022-01-07;28;3,822;198340;;;;
2022-01-08;24;0,862;49982;;;;
2022-01-09;26;2,426;137488;;;;
2022-01-10;29;4,454;213189;;;;
2022-01-11;25;1,220;57271;;;;
2022-01-12;22;1,818;94334;;;;
2022-01-13;25;2,874;137566;;;;
2022-01-14;26;3,313;152661;;;;
2022-01-15;28;4,845;217359;;;;
2022-01-16;28;4,339;207701;;;;
2022-01-17;27;3,169;148781;;;;
2022-01-18;20;0,614;28268;;;;
2022-01-19;19;0,673;34912;;;;
2022-01-20;24;2,287;132671;;;;
2022-01-21;24;2,102;100598;;;;
2022-01-22;28;2,813;163137;;;;
2022-01-23;28;2,347;132991;;;;
2022-01-24;29;3,273;156659;;;;
2022-01-25;27;2,618;120633;;;;
2022-01-26;28;3,812;216024;;;;
2022-01-27;29;5,149;237221;;;;
2022-01-28;28;4,073;211347;;;;
2022-01-29;29;3,584;207869;;;;
2022-01-30;25;0,692;32471;;;;
2022-01-31;20;0,692;40116;;;;
2022-02-01;20;1,204;57609;;;;
2022-02-02;22;1,221;63350;;;;
2022-02-03;19;0,943;51104;;;;
2022-02-04;19;0,757;42914;;;;
2022-02-05;18;0,931;43721;;;;
2022-02-06;24;3,667;168933;;;;
2022-02-07;26;3,645;189176;;;;
2022-02-08;24;1,819;105527;;;;
2022-02-09;28;0,998;56529;;;;
2022-02-10;23;2,039;97609;;;;
2022-02-11;27;3,352;157406;;;;
2022-02-12;27;2,780;144293;;;;
2022-02-13;27;2,975;142376;;;;
2022-02-14;20;1,457;67148;;;;
2022-02-15;20;1,204;54007;;;;
2022-02-16;23;1,693;81017;;;;
2022-02-17;27;3,073;144277;;;;
2022-02-18;30;5,280;243260;;;;
2022-02-19;31;3,598;186721;;;;
2022-02-20;17;0,918;53268;;;;
2022-02-21;16;1,096;52447;;;;
2022-02-22;18;1,172;67959;;;;
2022-02-23;15;1,199;67937;;;;
2022-02-24;18;1,017;48673;;;;
2022-02-25;18;1,349;62139;;;;
2022-02-26;18;0,971;55051;;;;
2022-02-27;20;1,234;56862;;;;
2022-02-28;24;2,285;118557;;;;
2022-03-01;27;4,214;201698;;;;
2022-03-02;27;3,525;182930;;;;
2022-03-03;27;3,132;169681;;;;
2022-03-04;28;4,181;236941;;;;
2022-03-05;28;3,240;152115;;;;
2022-03-06;29;3,323;153115;;;;
2022-03-07;27;0,828;42993;;;;
2022-03-08;27;4,756;275877;;;;
2022-03-09;27;4,384;248436;;;;
2022-03-10;27;5,262;251853;;;;
2022-03-11;28;5,050;237122;;;;
2022-03-12;28;5,025;260762;;;;
2022-03-13;29;4,752;227444;;;;
2022-03-14;29;4,574;210731;;;;
2022-03-15;28;2,783;124861;;;;
2022-03-16;27;1,219;58346;;;;
2022-03-17;31;3,731;175188;;;;
2022-03-18;28;1,306;60195;;;;
2022-03-19;31;4,077;211578;;;;
2022-03-20;33;3,562;206585;;;;
2022-03-21;35;4,029;192858;;;;
2022-03-22;33;3,693;214221;;;;
2022-03-23;34;3,192;180885;;;;
2022-03-24;27;2,980;142653;;;;
2022-03-25;35;5,745;264719;;;;
2022-03-26;35;4,328;245232;;;;
2022-03-27;36;4,559;210051;;;;
2022-03-28;23;0,980;50877;;;;
2022-03-29;23;1,203;69755;;;;
2022-03-30;26;2,706;127064;;;;
2022-03-31;26;0,381;22094;;;;
2022-04-01;24;0,486;23268;;;;
2022-04-02;19;0,987;51239;;;;
2022-04-03;18;0,741;40166;;;;
2022-04-04;20;0,910;51547;;;;
2022-04-05;22;1,078;50631;;;;
2022-04-06;26;4,014;184924;;;;
2022-04-07;27;4,942;256469;;;;
2022-04-08;28;4,574;265317;;;;
2022-04-09;29;4,945;280225;;;;
2022-04-10;28;5,000;239313;;;;
2022-04-11;30;4,636;217668;;;;
2022-04-12;30;4,452;231058;;;;
2022-04-13;32;3,756;179771;;;;
2022-04-14;31;5,271;242875;;;;
2022-04-15;33;5,705;255953;;;;
2022-04-16;33;5,188;248301;;;;
2022-04-17;31;4,836;227061;;;;
2022-04-18;29;4,621;212895;;;;
2022-04-19;22;1,142;59252;;;;
2022-04-20;22;1,354;78525;;;;
2022-04-21;28;3,190;152692;;;;
2022-04-22;31;3,962;229773;;;;
2022-04-23;34;4,998;283194;;;;
2022-04-24;35;5,261;251794;;;;
2022-04-25;37;5,642;259951;;;;
2022-04-26;36;5,979;338821;;;;
2022-04-27;36;5,470;252036;;;;
2022-04-28;35;5,726;297130;;;;
2022-04-29;33;4,764;276289;;;;
2022-04-30;29;2,715;127480;;;;
2022-05-01;31;2,568;122906;;;;
2022-05-02;21;1,203;62417;;;;
2022-05-03;21;0,986;53401;;;;
2022-05-04;25;1,544;87483;;;;
2022-05-05;28;3,944;185162;;;;
2022-05-06;29;3,949;181933;;;;
2022-05-07;30;4,049;210148;;;;
2022-05-08;32;3,524;204415;;;;
2022-05-09;32;4,223;239310;;;;
2022-05-10;34;4,624;221345;;;;
2022-05-11;35;5,550;260590;;;;
2022-05-12;36;4,826;250460;;;;
2022-05-13;37;4,554;217983;;;;
2022-05-14;36;5,216;240304;;;;
2022-05-15;35;4,816;216046;;;;
2022-05-16;27;1,662;79560;;;;
2022-05-17;28;1,375;64555;;;;
2022-05-18;28;3,193;147129;;;;
2022-05-19;29;2,928;151937;;;;
2022-05-20;31;4,290;248825;;;;
2022-05-21;32;4,701;224986;;;;
2022-05-22;34;3,008;174478;;;;
2022-05-23;34;5,014;284116;;;;
2022-05-24;33;3,316;158720;;;;
2022-05-25;35;5,374;247607;;;;
2022-05-26;35;4,397;249188;;;;
2022-05-27;36;4,559;210032;;;;
2022-05-28;35;5,258;272884;;;;
2022-05-29;35;4,700;272582;;;;
2022-05-30;35;5,787;271694;;;;
2022-05-31;34;4,360;252903;;;;
2022-06-01;34;5,915;283111;;;;
2022-06-02;34;4,988;258844;;;;
